incident_id,start_ts,end_ts,n_rows,max_score
0,2024-05-11 12:06:28+00:00,2024-05-11 12:06:28+00:00,1,0.7215909136036636
1,2024-05-11 14:52:43+00:00,2024-05-11 14:53:14+00:00,2,0.9023104966237782
2,2024-05-11 14:58:07+00:00,2024-05-11 14:58:07+00:00,1,0.6856449238974633
3,2024-05-11 15:00:15+00:00,2024-05-11 15:00:49+00:00,2,0.9556561049619703
4,2024-05-11 15:06:41+00:00,2024-05-11 15:06:41+00:00,1,0.824208761016832
5,2024-05-11 15:07:58+00:00,2024-05-11 15:10:33+00:00,4,0.9513230666764444
6,2024-05-11 15:12:47+00:00,2024-05-11 15:13:44+00:00,2,0.7585660873983118
7,2024-05-11 15:18:56+00:00,2024-05-11 15:19:23+00:00,2,0.8166390445436295
8,2024-05-11 15:21:55+00:00,2024-05-11 15:21:55+00:00,1,0.9656606182244921
9,2024-05-11 15:22:51+00:00,2024-05-11 15:25:13+00:00,5,0.9793450473884172
10,2024-05-11 16:03:51+00:00,2024-05-11 16:03:51+00:00,1,0.7919276468498743
11,2024-05-11 16:09:39+00:00,2024-05-11 16:10:09+00:00,2,0.9730972073792858
12,2024-05-11 16:20:30+00:00,2024-05-11 16:21:10+00:00,2,0.9509666755843936
13,2024-05-11 16:23:25+00:00,2024-05-11 16:23:50+00:00,2,0.8783276169468693
14,2024-05-11 16:25:32+00:00,2024-05-11 16:27:40+00:00,3,0.9024144949885391
15,2024-05-11 16:28:39+00:00,2024-05-11 16:28:39+00:00,1,0.9651787791405542
16,2024-05-11 16:31:00+00:00,2024-05-11 16:31:00+00:00,1,0.7394135289274401
17,2024-05-11 16:32:12+00:00,2024-05-11 16:32:12+00:00,1,0.936260751479092
18,2024-05-11 16:33:29+00:00,2024-05-11 16:33:29+00:00,1,0.9327649716091121
19,2024-05-11 17:15:28+00:00,2024-05-11 17:15:28+00:00,1,0.9452398171753861
20,2024-05-11 17:18:07+00:00,2024-05-11 17:18:07+00:00,1,0.7279969329539904
21,2024-05-11 17:26:01+00:00,2024-05-11 17:26:01+00:00,1,0.7375396399308773
22,2024-05-11 17:29:13+00:00,2024-05-11 17:29:13+00:00,1,0.9715848270935763
23,2024-05-11 17:43:21+00:00,2024-05-11 17:43:21+00:00,1,0.8719981874114651
24,2024-05-11 17:45:11+00:00,2024-05-11 17:45:11+00:00,1,0.9341866810663901
25,2024-05-11 17:47:25+00:00,2024-05-11 17:47:25+00:00,1,0.7799522015616246
26,2024-05-11 17:49:31+00:00,2024-05-11 17:49:31+00:00,1,0.9285122516261199
27,2024-05-11 17:50:47+00:00,2024-05-11 17:51:49+00:00,2,0.9333955911556647
28,2024-05-11 17:56:58+00:00,2024-05-11 17:56:58+00:00,1,0.8944037221539465
29,2024-05-11 18:00:42+00:00,2024-05-11 18:00:42+00:00,1,0.8696879953795329
30,2024-05-11 18:32:27+00:00,2024-05-11 18:32:27+00:00,1,0.898353513899584
31,2024-05-11 18:36:40+00:00,2024-05-11 18:36:40+00:00,1,0.4059064493438341
32,2024-05-11 18:37:38+00:00,2024-05-11 18:37:38+00:00,1,0.8140670629464684
33,2024-05-11 18:43:54+00:00,2024-05-11 18:43:54+00:00,1,0.8510222098744653
34,2024-05-11 18:47:29+00:00,2024-05-11 18:47:29+00:00,1,0.9303098221202485
35,2024-05-11 18:49:07+00:00,2024-05-11 18:49:07+00:00,1,0.9254870045175566
36,2024-05-11 18:52:27+00:00,2024-05-11 18:52:27+00:00,1,0.9029000529512391
37,2024-05-11 19:00:16+00:00,2024-05-11 19:00:16+00:00,1,0.8691392399356742
38,2024-05-11 19:23:04+00:00,2024-05-11 19:23:04+00:00,1,0.7551701824332323
39,2024-05-11 19:28:17+00:00,2024-05-11 19:28:17+00:00,1,0.836669490773687
40,2024-05-11 19:37:21+00:00,2024-05-11 19:37:21+00:00,1,0.5043350983164623
41,2024-05-11 19:40:44+00:00,2024-05-11 19:40:44+00:00,1,0.7881064810664555
42,2024-05-11 19:46:03+00:00,2024-05-11 19:46:03+00:00,1,0.9327196543679964
43,2024-05-11 19:48:24+00:00,2024-05-11 19:48:24+00:00,1,0.9431985463099977
44,2024-05-11 19:49:26+00:00,2024-05-11 19:50:00+00:00,2,0.8625885177527333
45,2024-05-11 19:52:09+00:00,2024-05-11 19:52:09+00:00,1,0.4643677442748935
46,2024-05-11 19:53:26+00:00,2024-05-11 19:53:26+00:00,1,0.4545307633007467
47,2024-05-11 19:55:08+00:00,2024-05-11 19:55:08+00:00,1,0.7656843697375664
48,2024-05-11 19:58:04+00:00,2024-05-11 20:00:07+00:00,3,0.9268695637688041
49,2024-05-11 20:01:09+00:00,2024-05-11 20:01:41+00:00,2,0.9510991605694258
50,2024-05-11 20:03:09+00:00,2024-05-11 20:03:41+00:00,2,0.968868998874268
51,2024-05-11 20:07:19+00:00,2024-05-11 20:07:19+00:00,1,0.8340732959684587
52,2024-05-11 20:09:27+00:00,2024-05-11 20:09:27+00:00,1,0.7556478370261611
53,2024-05-11 22:02:09+00:00,2024-05-11 22:02:09+00:00,1,0.5812304103677
54,2024-05-11 22:04:52+00:00,2024-05-11 22:04:52+00:00,1,0.6834891587706495
55,2024-05-11 22:11:23+00:00,2024-05-11 22:12:25+00:00,3,0.8271500712076645
56,2024-05-11 22:17:53+00:00,2024-05-11 22:18:32+00:00,2,0.9261266120080417
57,2024-05-11 22:19:24+00:00,2024-05-11 22:19:24+00:00,1,0.42716233640716594
58,2024-05-11 22:24:31+00:00,2024-05-11 22:24:31+00:00,1,0.4894282860573682
59,2024-05-11 22:27:49+00:00,2024-05-11 22:27:49+00:00,1,0.7219386302346018
60,2024-05-11 22:30:16+00:00,2024-05-11 22:30:16+00:00,1,0.5164216759188572
61,2024-05-11 22:43:07+00:00,2024-05-11 22:43:07+00:00,1,0.48384536862430044
62,2024-05-11 23:00:11+00:00,2024-05-11 23:00:11+00:00,1,0.5861248224266074
63,2024-05-11 23:08:30+00:00,2024-05-11 23:08:55+00:00,2,0.6750138037073199
64,2024-05-11 23:09:54+00:00,2024-05-11 23:10:22+00:00,2,0.6860251385577735
65,2024-05-11 23:11:47+00:00,2024-05-11 23:11:47+00:00,1,0.46668573244841255
